Symbol,Company Name
JNJ,Johnson & Johnson
PFE,Pfizer Inc.
NKE,NIKE Inc.
AXP,American Express Company
KO,The Coca-Cola Company
AAPL,Apple Inc.
MSFT,Microsoft Corporation
MMM,3M Company
XOM,Exxon Mobil Corporation
V,Visa Inc.
HD,The Home Depot Inc.
WBA,Walgreens Boots Alliance Inc.
PG,The Procter & Gamble Company
DIS,The Walt Disney Company
TRV,The Travelers Companies Inc.
JPM,JPMorgan Chase & Co.
MCD,McDonald's Corporation
VZ,Verizon Communications Inc.
CAT,Caterpillar Inc.
UNH,UnitedHealth Group Incorporated
MRK,Merck & Co. Inc.
CVX,Chevron Corporation
RTX,Raytheon Technologies Corporation
CSCO,Cisco Systems Inc.
IBM,International Business Machines Corporation
INTC,Intel Corporation
GS,The Goldman Sachs Group Inc.
WMT,Walmart Inc.
DOW,Dow Inc.
BA,The Boeing Company
